,2011,2012,2013,2014,2015,2016,2017
Total Passengers,287615856.0,279129293.0,273406081.0,270514615.0,260004801.0,232546318.0,228209811.0
Monthly Average Passengers,23967988.0,23260774.416666668,22783840.083333332,22542884.583333332,21667066.75,19378859.833333332,19017484.25
