,0,1,2,3
Bus_x_2,-71477832114.55226,194467.28970056484,-0.13226436628178312,
Metro_x_2,-405301676608.8428,1104677.4922200355,-0.7526738754447176,
Taxi_x_2,433164229166.5184,-1176506.7051609585,0.7988722206376845,
Uber_x_2,-645274936298.3264,1750727.7145425077,-1.1874853845649043,
Bus_x_3,-23906538301074.703,97355124.48203373,-132.15333216962014,5.979634654365569e-05
Metro_x_3,18326612288838.6,-75310566.82577865,103.15708578695295,-4.709894263837075e-05
Taxi_x_3,-220766043593963.38,900309890.5752827,-1223.8554140538827,0.0005545574627813728
Uber_x_3,-5305861426388045.0,21615715762.016777,-29353.648796053483,0.013287195417700832
