OBJECTID_1,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Direction,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June
1187,WMYELA,3691,YELLOW,Not collected,FT,8021,HUNTINGTON,8048,Metro Rail,1,MetroRail-Yellow,12,36,Off-Peak,,,,,,,,,,,,
1188,RO100I,3553,100,,GERMANTOWN TRANSIT CENTER & BA,23206,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,15,16,Off-Peak,2679,2600,2475,2425,2275,2300,2275,2150,2200,2200,2125,2102
1189,LCC80D,3703,Purcellville-DC,,NW H ST (BETWEEN 4TH & 5TH),20170,HARMONY,38029,Commuter Bus,2,Loudoun County Commuter Bus,60,113,Off-Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
1190,LCC922,3704,Dulles 2 Dulles,,WIEHLE-RESTON EAST METRO STATION,36067,DULLES NORTH TRANSIT CENTER,38313,Commuter Bus,2,Loudoun County Local Bus,60,37,Peak,176,176,176,176,176,176,176,176,176,176,176,176
1191,LCC205W,3705,Purcellville-DC,,DULLES SOUTH - STONE RIDGE,38388,WATER FRONT METRO,21275,Commuter Bus,2,Loudoun County Commuter Bus,60,83,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
1192,LCC411E,3706,Purcellville-DC,,HARMONY - 39464 E COLONIAL HWY,38118,WATERFRONT METRO STATION,21286,Commuter Bus,2,Loudoun County Commuter Bus,60,102,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
1193,LCC106/7W,3707,Purcellville-DC,,ASHBURN NORTH PARK & RIDE LOT,38075,NW 14TH ST & NW CONSTITUTION AV,20240,Commuter Bus,2,Loudoun County Commuter Bus,30,74,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
1194,LCC409E,3708,Purcellville-DC,,LEESBURG PARK & RIDE,38657,PENTAGON BUS TERMINAL,30119,Commuter Bus,2,Loudoun County Commuter Bus,60,47,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
1195,VMAS325,3709,Manassas,,UNION STATION,9001,BROAD RUN,9067,Commuter Rail,2,VRE,60,73,Off-Peak,8381,8185,8577,8687,8032,7708,8059,8582,8786,8942,8364,8518
1196,VMASS1I,3710,Manassas,,BROAD RUN AIRPORT VRE,9067,UNION STATION,9001,Commuter Rail,2,VRE,30,75,Peak,8381,8185,8577,8687,8032,7708,8059,8582,8786,8942,8364,8518
1197,RO55O,3711,55,,ROCKVILLE STATION & BAY C - EA,22351,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,20,69,Off-Peak,7529,7770,8847,8554,7648,7025,7025,7459,7050,8202,8086,7530
1198,MP404,3712,Penn,,Washington-Union,9001,BWI,9034,Commuter Rail,2,MARC,60,32,Peak,25068,24669,25156,25293,24140,21727,22891,22400,23401,24228,23642,23811
1199,RO55O,3711,55,,ROCKVILLE STATION & BAY C - EA,22351,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,20,69,Off-Peak,7529,7770,8847,8554,7648,7025,7025,7459,7050,8202,8086,7530
