OBJECTID_1,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Direction,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June
1106,GO11L,3620,Route 11,,GREENBELT METRO STATION,26106,GREENBELT METRO STATION,26673,Other Primary - Local Bus,2,PG TheBus,30,42,Off-Peak,335,363,416,415,379,353,319,339,400,337,404,336
1107,RO55,3287,55,,GERMANTOWN TRANSIT CENTER & BA,22128,ROCKVILLE STATION & BAY C - EA,22370,Other Primary - Local Bus,2,Ride On Bus,20,64,Off-Peak,7529,7770,8847,8554,7648,7025,7025,7459,7050,8202,8086,7530
1108,GO11L,3620,Route 11,,GREENBELT METRO STATION,26106,GREENBELT METRO STATION,26673,Other Primary - Local Bus,2,PG TheBus,30,42,Off-Peak,335,363,416,415,379,353,319,339,400,337,404,336
1109,RO98I,3623,98,,CLOPPER RD & KINGSVIEW PARK &,23214,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,30,32,Off-Peak,433,425,438,561,551,465,412,449,447,469,440,375
1110,RO98I,3623,98,,CLOPPER RD & KINGSVIEW PARK &,23214,GERMANTOWN TRANSIT CENTER & BA,22128,Other Primary - Local Bus,2,Ride On Bus,30,32,Off-Peak,433,425,438,561,551,465,412,449,447,469,440,375
1111,RO64,3271,64,,CLUB HOUSE RD & MONTGOMERY VIL,22437,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,30,32,Off-Peak,1571,1450,1649,1730,1533,1407,1325,1250,1300,1300,1478,1300
1112,FTWVSI,3626,65,,WALKERS VILLAGE SHOPPING CENTER(SAFEWAY),42150,MARC-FREDERICK,42540,Other Primary - Express Bus,2,TransIT,60,28,Off-Peak,187,171,195,182,155,157,143,135,152,161,169,157
1113,FTBWKI,3627,B/J,,KNOXVILLE RD & JEFFERSON PIKE(KNOXVILLE),42246,MARC-FREDERICK,42540,Other Primary - Express Bus,2,TransIT,60,45,Peak,40,33,39,31,32,24,24,25,25,31,31,30
1114,GO21XS,3628,Route 21X,,NEW CARROLLTON METRO STATION,26193,MOTOR VEHICLE ADMINISTRATION IN LARGO,26334,Other Primary - Local Bus,2,PG TheBus,20,21,Peak,627,638,1125,1063,763,522,381,649,617,646,472,417
1115,GO18N,3629,Route 18,,ADDISON ROAD METRO STATION,26201,EDWARDS PL & NEW HAMPSHIRE AVE,26042,Other Primary - Local Bus,2,PG TheBus,60,57,Off-Peak,1114,1136,1140,1150,1042,951,831,829,988,1120,1089,971
1116,GO18S,3630,Route 18,,EDWARDS PL & NEW HAMPSHIRE AVE,26042,ADDISON ROAD METRO STATION,26201,Other Primary - Local Bus,2,PG TheBus,30,60,Peak,1114,1136,1140,1150,1042,951,831,829,988,1120,1089,971
1117,GO18S,3630,Route 18,,EDWARDS PL & NEW HAMPSHIRE AVE,26042,ADDISON ROAD METRO STATION,26201,Other Primary - Local Bus,2,PG TheBus,30,60,Peak,1114,1136,1140,1150,1042,951,831,829,988,1120,1089,971
1118,GO16N,3632,Route 16,,NEW CARROLLTON STATION & BUS BAY K,26159,GREENBELT METRO STATION,26673,Other Primary - Local Bus,2,PG TheBus,60,48,Off-Peak,999,1037,1183,1134,1039,1004,945,886,973,1041,1073,1041
1119,GO25E,3237,Route 25,,CAPITOL HEIGHTS METRO STATION,21188,CAPITOL HEIGHTS METRO STATION,27843,Other Primary - Local Bus,2,PG TheBus,60,26,Off-Peak,205,205,215,217,200,199,181,176,170,105,186,199
1120,GO20E,3634,Route 20,,ADDISON ROAD METRO STATION,26201,"GOVERNOR ODEN BOWIE DR; REAR OF CAB",26840,Other Primary - Local Bus,2,PG TheBus,20,49,Peak,1022,1012,1047,964,915,876,851,799,893,995,960,953
1121,GO20E,3634,Route 20,,ADDISON ROAD METRO STATION,26201,"GOVERNOR ODEN BOWIE DR; REAR OF CAB",26840,Other Primary - Local Bus,2,PG TheBus,20,49,Peak,1022,1012,1047,964,915,876,851,799,893,995,960,953
1122,GO20W,3636,Route 20,,"GOVERNOR ODEN BOWIE DR; REAR OF CAB",26840,ADDISON ROAD METRO STATION,26201,Other Primary - Local Bus,2,PG TheBus,20,46,Peak,1022,1012,1047,964,915,876,851,799,893,995,960,953
1123,GO20W,3636,Route 20,,"GOVERNOR ODEN BOWIE DR; REAR OF CAB",26840,ADDISON ROAD METRO STATION,26201,Other Primary - Local Bus,2,PG TheBus,20,46,Peak,1022,1012,1047,964,915,876,851,799,893,995,960,953
1124,GO21I,3638,Route 21,,NEW CARROLLTON METRO STATION,26193,EQUESTRIAN CENTER PARKING LOT #1,26840,Other Primary - Local Bus,2,PG TheBus,30,55,Peak,1155,1071,1266,1216,1161,968,1140,1058,1160,1229,972,998
1125,GO17S,3639,Route 17,,IKEA STORE BUS BAY STOP,27368,RHODE ISLAND AV & 34TH ST,26127,Other Primary - Local Bus,2,PG TheBus,30,37,Peak,566,602,564,569,525,491,445,431,473,517,538,535
1126,GO21XN,3640,Route 21X,,MOTOR VEHICLE ADMINISTRATION IN LARGO,26334,NEW CARROLLTON METRO STATION,26193,Other Primary - Local Bus,2,PG TheBus,30,23,Off-Peak,627,638,1125,1063,763,522,381,649,617,646,472,417
1127,GO17S,3639,Route 17,,IKEA STORE BUS BAY STOP,27368,RHODE ISLAND AV & 34TH ST,26127,Other Primary - Local Bus,2,PG TheBus,30,37,Peak,566,602,564,569,525,491,445,431,473,517,538,535
1128,GO21XS,3628,Route 21X,,NEW CARROLLTON METRO STATION,26193,MOTOR VEHICLE ADMINISTRATION IN LARGO,26334,Other Primary - Local Bus,2,PG TheBus,20,21,Peak,627,638,1125,1063,763,522,381,649,617,646,472,417
