DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
2018-04-07 13:34:53,14.0,0,LOOP,38.882359,-76.94278,U5,2018-04-07 13:30:00,MAYFAIR-MARSHALL HTS-LINCOLN HTS,726588070,2018-04-07 12:33:00,2568
2018-04-07 13:34:46,13.0,0,NORTH,38.974445,-77.026764,70,2018-04-07 13:35:00,SILVER SPRING STATION,769538070,2018-04-07 12:34:00,5475
2018-04-07 13:34:55,10.0,1,SOUTH,38.901554,-77.021896,70,2018-04-07 13:35:00,ARCHIVES,769621070,2018-04-07 12:34:00,5478
2018-04-07 13:35:03,14.0,1,WEST,39.031353,-77.022125,C2,2018-04-07 13:31:00,WHEATON STATION,723629070,2018-04-07 12:34:00,7269
2018-04-07 13:34:37,0.0,1,WEST,38.877296,-77.271057,1A,2018-04-07 13:34:00,VIENNA STATION,726892070,2018-04-07 12:35:00,2156
2018-04-07 13:35:01,0.0,0,EAST,38.839401,-77.087395,23T,2018-04-07 13:28:00,SHIRLINGTON,745630070,2018-04-07 12:35:00,2660
2018-04-07 13:35:02,0.0,0,NORTH,38.955765,-77.033112,52,2018-04-07 13:26:00,14TH & COLORADO,766660070,2018-04-07 12:35:00,6529
2018-04-07 13:34:37,5.0,1,SOUTH,38.897388,-77.027809,54,2018-04-07 13:30:00,METRO CENTER,743671070,2018-04-07 12:36:00,7219
2018-04-07 13:34:46,3.0,1,WEST,39.011459,-76.910324,G14,2018-04-07 13:30:00,GREENBELT STATION,744633070,2018-04-07 12:36:00,7012
2018-04-07 13:34:52,0.0,1,WEST,38.948372,-77.078484,H4,2018-04-07 13:23:00,TENLEYTOWN STATION,737173070,2018-04-07 12:36:00,2547
2018-04-07 13:34:57,-2.0,1,WEST,38.905308,-77.059814,30N,2018-04-07 14:10:00,FRIENDSHIP HEIGHTS,719987070,2018-04-07 12:38:00,7150
2018-04-07 13:34:58,5.0,0,EAST,38.988815,-76.987625,C4,2018-04-07 13:55:00,PRINCE GEORGES PLAZA STATION,723682070,2018-04-07 12:39:00,7254
2018-04-07 13:35:03,5.0,0,EAST,38.850616,-77.128227,28A,2018-04-07 13:59:00,KING STREET - OLD TOWN STATION,740915070,2018-04-07 12:40:00,2676
2018-04-07 13:34:57,1.0,1,WEST,38.841171,-77.271217,29K,2018-04-07 13:46:00,GEORGE MASON UNIVERSITY,737929070,2018-04-07 12:40:00,8084
2018-04-07 13:34:26,11.0,1,SOUTH,38.887722,-77.031914,52,2018-04-07 13:34:00,L'ENFANT PLAZA STATION,743669070,2018-04-07 12:40:00,6476
2018-04-07 13:35:02,0.0,0,NORTH,38.975952,-77.017052,54,2018-04-07 13:28:00,TAKOMA STATION,743449070,2018-04-07 12:40:00,7354
2018-04-07 13:34:46,-2.0,1,SOUTH,38.86216,-76.996017,B2,2018-04-07 13:32:00,ANACOSTIA STATION,731715070,2018-04-07 12:40:00,2511
2018-04-07 13:34:41,6.0,0,NORTH,38.931393,-76.958542,B2,2018-04-07 13:33:00,MT RAINIER,731657070,2018-04-07 12:40:00,2535
2018-04-07 13:34:40,-3.0,0,EAST,38.864357,-76.894104,P12,2018-04-07 13:43:00,ADDISON RD STATION,738204070,2018-04-07 12:40:00,7007
2018-04-07 13:34:44,7.0,0,NORTH,38.906712,-77.008942,P6,2018-04-07 13:41:00,RHODE ISLAND AVE STATION,746226070,2018-04-07 12:40:00,8063
2018-04-07 13:35:02,0.0,0,NORTH,38.99308,-77.033173,S4,2018-04-07 13:28:00,SILVER SPRING STATION,770287070,2018-04-07 12:40:00,7338
2018-04-07 13:34:50,14.0,1,SOUTH,38.902538,-77.029961,S9,2018-04-07 13:22:00,FRANKLIN SQUARE,719719070,2018-04-07 12:40:00,6435
2018-04-07 13:34:38,0.0,0,NORTH,38.994053,-77.030205,S9,2018-04-07 13:21:00,SILVER SPRING STATION,719685070,2018-04-07 12:40:00,6458
2018-04-07 13:34:45,0.0,0,NORTH,38.908722,-76.929642,W4,2018-04-07 13:36:00,DEANWOOD STATION,760094070,2018-04-07 12:40:00,8028
2018-04-07 13:35:05,-4.0,0,NORTH,38.961395,-77.085922,33,2018-04-07 13:32:00,FRIENDSHIP HEIGHTS,761200070,2018-04-07 12:41:00,7112
2018-04-07 13:34:55,-2.0,0,EAST,38.845856,-76.969925,32,2018-04-07 13:40:00,SOUTHERN AVE STATION,759235070,2018-04-07 12:42:00,2560
2018-04-07 13:35:05,6.0,1,WEST,39.058125,-77.049675,C8,2018-04-07 13:48:00,WHITE FLINT STATION,717463070,2018-04-07 12:42:00,6392
2018-04-07 13:34:46,2.0,1,WEST,38.845112,-76.999565,W3,2018-04-07 13:39:00,WASHINGTON OVERLOOK,732759070,2018-04-07 12:42:00,3065
2018-04-07 13:34:38,15.0,1,SOUTH,38.903141,-77.024002,79,2018-04-07 13:26:00,ARCHIVES,717950070,2018-04-07 12:43:00,6438
2018-04-07 13:34:49,2.0,0,NORTH,38.930187,-77.010689,D8,2018-04-07 13:34:00,WASHINGTON HOSPITAL CENTER,739910070,2018-04-07 12:44:00,2555
2018-04-07 13:34:49,1.0,0,EAST,38.933697,-76.993698,H2,2018-04-07 13:29:00,BROOKLAND STATION,737214070,2018-04-07 12:44:00,6190
2018-04-07 13:34:47,7.0,0,NORTH,38.855457,-77.088409,10B,2018-04-07 13:44:00,BALLSTON,732327070,2018-04-07 12:45:00,6025
2018-04-07 13:34:53,12.0,1,WEST,38.856209,-77.139702,28A,2018-04-07 14:05:00,TYSONS CORNER STA,740848070,2018-04-07 12:45:00,2605
2018-04-07 13:35:02,0.0,0,EAST,38.871021,-77.153435,3A,2018-04-07 13:26:00,SEVEN CORNERS VIA EAST FALLS CHURCH STATION,750972070,2018-04-07 12:45:00,3035
2018-04-07 13:34:47,14.0,0,NORTH,38.986115,-77.026649,79,2018-04-07 13:27:00,SILVER SPRING STATION,717997070,2018-04-07 12:45:00,6450
2018-04-07 13:35:03,-2.0,0,NORTH,38.931679,-76.919365,A12,2018-04-07 13:43:00,CAPITAL PLAZA,758344070,2018-04-07 12:45:00,7027
2018-04-07 13:34:37,1.0,0,EAST,38.948639,-76.872231,T18,2018-04-07 13:30:00,NEW CARROLLTON STATION,758043070,2018-04-07 12:45:00,7009
2018-04-07 13:35:01,4.0,0,EAST,38.838818,-76.993294,W3,2018-04-07 13:36:00,UNITED MEDICAL CENTER,732712070,2018-04-07 12:45:00,3059
2018-04-07 13:34:54,15.0,0,NORTH,39.084435,-76.940582,Z8,2018-04-07 13:24:00,BRIGGS CHANEY PARK & RIDE,730214070,2018-04-07 12:45:00,6381
2018-04-07 13:34:37,11.0,0,EAST,38.892693,-76.910942,V2,2018-04-07 13:26:00,CAPITOL HEIGHTS STATION,725804070,2018-04-07 12:46:00,8101
2018-04-07 13:34:49,18.0,1,WEST,38.899811,-77.026733,X2,2018-04-07 13:25:00,LAFAYETTE SQUARE,727736070,2018-04-07 12:46:00,5420
2018-04-07 13:34:56,1.0,1,SOUTH,39.025463,-77.046249,Y2,2018-04-07 13:46:00,SILVER SPRING STATION,767184070,2018-04-07 12:47:00,6377
2018-04-07 13:35:00,-3.0,1,WEST,38.922932,-77.213402,23T,2018-04-07 13:42:00,TYSONS CORNER,745558070,2018-04-07 12:48:00,2730
2018-04-07 13:35:00,15.0,1,WEST,38.88765,-77.008217,32,2018-04-07 13:51:00,FOGGY BOTTOM STATION,759148070,2018-04-07 12:48:00,2509
2018-04-07 13:35:00,0.0,0,NORTH,38.972481,-77.026955,70,2018-04-07 13:49:00,SILVER SPRING STATION,769539070,2018-04-07 12:48:00,5474
2018-04-07 13:34:42,0.0,1,SOUTH,38.964375,-76.953201,86,2018-04-07 14:03:00,RHODE ISLAND AVE STATION,752431070,2018-04-07 12:48:00,6408
2018-04-07 13:34:58,12.0,0,NORTH,39.057503,-77.049767,Y2,2018-04-07 13:52:00,MONTGOMERY MEDICAL CENTER,767143070,2018-04-07 12:48:00,7243
2018-04-07 13:34:48,6.0,1,SOUTH,38.917763,-77.021889,70,2018-04-07 13:50:00,ARCHIVES,769607070,2018-04-07 12:49:00,5463
2018-04-07 13:34:41,-2.0,0,EAST,38.988529,-76.936302,C2,2018-04-07 13:49:00,GREENBELT STATION,723683070,2018-04-07 12:49:00,7372
2018-04-07 13:34:35,-1.0,1,WEST,38.851181,-77.337593,1C,2018-04-07 13:47:00,FAIR OAKS MALL,727227070,2018-04-07 12:50:00,2649
2018-04-07 13:34:42,0.0,0,EAST,38.896099,-77.022659,D6,2018-04-07 14:02:00,STADIUM-ARMORY,746649070,2018-04-07 12:50:00,6411
2018-04-07 13:35:01,-3.0,1,SOUTH,38.872749,-76.922401,F14,2018-04-07 13:53:00,NAYLOR RD STATION,717654070,2018-04-07 12:50:00,7386
2018-04-07 13:34:44,0.0,0,NORTH,38.844521,-76.931931,K12,2018-04-07 13:28:00,SUITLAND STATION,740570070,2018-04-07 12:50:00,7075
2018-04-07 13:34:43,3.0,1,SOUTH,38.901558,-77.03849,L2,2018-04-07 13:32:00,FARRAGUT SQUARE,736059070,2018-04-07 12:50:00,7139
2018-04-07 13:34:38,-4.0,1,WEST,38.96162,-77.085876,N6,2018-04-07 13:34:00,FRIENDSHIP HEIGHTS,752819070,2018-04-07 12:50:00,7101
2018-04-07 13:34:52,1.0,1,WEST,38.83395,-76.985168,P12,2018-04-07 13:49:00,EASTOVER,738295070,2018-04-07 12:50:00,7050
2018-04-07 13:34:54,-1.0,0,EAST,38.859238,-77.09938,16B,2018-04-07 13:50:00,PENTAGON,729007070,2018-04-07 12:51:00,6350
2018-04-07 13:34:46,-1.0,0,NORTH,38.906509,-76.998993,92,2018-04-07 13:54:00,REEVES CENTER - 14TH & U NW,724482070,2018-04-07 12:51:00,8056
2018-04-07 13:34:45,0.0,0,EAST,38.868942,-76.960411,36,2018-04-07 13:47:00,NAYLOR RD STATION,759203070,2018-04-07 12:52:00,2825
2018-04-07 13:35:03,17.0,1,WEST,38.927193,-77.040306,H2,2018-04-07 13:37:00,TENLEYTOWN STATION,737147070,2018-04-07 12:52:00,2572
