OBJECTID,TransitRouteID,TransitRoute,OperRtNM,Notes,Headway,Origin,ONode,Destination,DNode,Mode,Operator,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June,Direction
1366,RO57O,1098,57, ,30,SHADY GROVE STATION & BAY A - WEST,22395,LAKEFOREST TRANSIT CENTER & ODENDHAL AVE,22161,Other Primary - Local Bus,Ride On Bus,33,Peak,2214,2314,2659,2540,2338,2193,1950,2191,2065,2393,2225,2186,2
1367,RO58O,1101,58, ,30,SHADY GROVE STATION & BAY C - EAST,22395,WATKINS MILL RD & FREDERICK AVE,22161,Other Primary - Local Bus,Ride On Bus,35,Peak,1735,1918,1973,1852,1733,1700,1525,1526,1581,1766,1657,1765,2
1368,RO59AO,1117,59, ,30,ROCKVILLE STATION & BAY C - EAST,22351,CLUB HOUSE RD & MONTGOMERY VILLAGE AVE,22437,Other Primary - Local Bus,Ride On Bus,54,Peak,3902,3896,4032,3805,3752,3775,3700,4018,3992,4314,4160,3830,2
1369,RO61BI,1106,61, ,20,GERMANTOWN TRANSIT CENTER & BAY B,22128,SHADY GROVE STATION & BAY C - EAST,22395,Other Primary - Local Bus,Ride On Bus,52,Peak,2893,2889,2877,2802,2850,2875,2625,2944,3012,3070,3058,3163,2
1370,RO79I,1355,79, ,30,STRINGTOWN RD & GATEWAY CENTER DR,22656,SHADY GROVE STATION & BAY C - EAST,22395,Other Primary - Local Bus,Ride On Bus,44,Peak,283,277,212,179,177,148,211,325,304,326,385,305,2
1371,RO34BO,1356,34, ,27,FRIENDSHIP HEIGHTS STATION & BAY K,22864,WHEATON STATION & BAY K,22595,Other Primary - Local Bus,Ride On Bus,48,Off-Peak,2615,2601,2841,3150,2921,2817,2614,3150,3039,3213,2907,2909,2
1372,RO36I,1343,36, ,30,BRADLEY BLV & CONGRESSIONAL CT,22200,BETHESDA STATION & BAY D,22048,Other Primary - Local Bus,Ride On Bus,22,Off-Peak,371,333,341,343,374,330,417,522,467,490,419,452,2
1373,RO23I,1358,23, ,30,FRIENDSHIP HEIGHTS STATION & BAY G,22864,LOUGHBORO RD & SIBLEY HOSPITAL,20680,Other Primary - Local Bus,Ride On Bus,21,Off-Peak,648,648,686,742,731,658,647,689,738,716,841,843,2
1374,RO23O,1359,23, ,30,LOUGHBORO RD & SIBLEY HOSPITAL,20680,FRIENDSHIP HEIGHTS STATION & BAY F,22864,Other Primary - Local Bus,Ride On Bus,25,Off-Peak,648,648,686,742,731,658,647,689,738,716,841,843,2
1375,RO29,1360,29, ,30,BETHESDA STATION & BAY E,22048,FRIENDSHIP HEIGHTS STATION & BAY F,22864,Other Primary - Local Bus,Ride On Bus,30,Off-Peak,664,664,625,724,677,625,661,714,650,747,712,714,2
1376,RO30AI,1361,30, ,30,MEDICAL CENTER STATION & BAY E,22054,BETHESDA STATION & BAY E,22048,Other Primary - Local Bus,Ride On Bus,34,Peak,637,637,625,604,617,625,616,776,755,728,964,753,2
1377,RO30AI,1361,30, ,30,MEDICAL CENTER STATION & BAY E,22054,BETHESDA STATION & BAY E,22048,Other Primary - Local Bus,Ride On Bus,34,Peak,637,637,625,604,617,625,616,776,755,728,964,753,2
1378,RO30O,1363,30, ,30,BETHESDA STATION & BAY E,22048,MEDICAL CENTER STATION & BAY E,22054,Other Primary - Local Bus,Ride On Bus,27,Off-Peak,637,637,625,604,617,625,616,776,755,728,964,753,2
1379,RO31,1364,31, ,30,GLENMONT STATION & BAY B,22580,WHEATON STATION & BAY H,22595,Other Primary - Local Bus,Ride On Bus,20,Peak,152,170,128,149,143,121,95,103,117,140,129,145,2
1380,RO32BI,1365,32, ,30,BETHESDA STATION & BAY E,22048,MAC ARTHUR BLV & CLARA BARTON PKWY,22193,Other Primary - Local Bus,Ride On Bus,24,Peak,225,235,208,247,227,196,224,232,226,279,277,279,2
1381,RO32O,1366,32, ,30,MAC ARTHUR BLV & CLARA BARTON PKWY,22193,BETHESDA STATION & BAY D,22048,Other Primary - Local Bus,Ride On Bus,27,Peak,225,235,208,247,227,196,224,232,226,279,277,279,2
1382,RO34BI,1341,34, ,30,WHEATON STATION & BAY K,22595,FRIENDSHIP HEIGHTS STATION & BAY F,22864,Other Primary - Local Bus,Ride On Bus,44,Off-Peak,2615,2601,2841,3150,2921,2817,2614,3150,3039,3213,2907,2909,2
1383,RO17I,1774,17, ,25,SILVER SPRING STATION & BAY R,22863,LEBANON ST & UNIVERSITY BLVD,26017,Other Primary - Local Bus,Ride On Bus,25,Off-Peak,1330,1330,1386,1439,1305,1325,1075,1248,1124,1310,1235,1218,2
1384,RO36,1369,36, ,30,BETHESDA STATION & BAY E,22048,BRADLEY BLV & CONGRESSIONAL CT,22200,Other Primary - Local Bus,Ride On Bus,24,Off-Peak,371,333,341,343,374,330,417,522,467,490,419,452,2
1385,RO98BO,1057,98, ,30,GERMANTOWN TRANSIT CENTER & BAY B,22128,KINGSVIEW PARK & RIDE & KINGSVIEW PARK & RIDE,23214,Other Primary - Local Bus,Ride On Bus,33,Off-Peak,247,259,275,271,307,273,266,347,353,406,442,448,2
1386,RO37AI,1371,37, ,30,POTOMAC COMMUNITY CENTER & BLANK,23252,GROSVENOR STATION & BAY J,22327,Other Primary - Local Bus,Ride On Bus,28,Peak,286,298,331,307,335,313,274,285,267,301,326,315,2
