OBJECTID,TransitRouteID,TransitRoute,OperRtNM,Notes,Headway,Origin,ONode,Destination,DNode,Mode,Operator,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June,Direction
1,WM86O,222,86, ,30,RHODE ISLAND AVE STA & BUS BAY A,21012,CENTER PARK RDWY & #4061,26507,Local Metrobus,Metro Bus,71,Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
2,WM87#1O,223,87, ,30,GREENBELT STATION & BUS BAY C,26106,2ND ST & MAIN ST,26306,Local Metrobus,Metro Bus,24,Peak,831,865,939,887,811,756,760,824,791,858,866,844,2
3,WM87I,224,87, ,30,BALTIMORE AVE & MAIN ST,26305,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,47,Peak,831,865,939,887,811,756,760,824,791,858,866,844,2
4,WM88I,225,88, ,60,BALTIMORE AVE & MAIN ST,26305,NEW CARROLLTON STATION & BUS BAY E,26193,Local Metrobus,Metro Bus,48,Peak,831,865,939,887,811,756,760,824,791,858,866,844,2
5,WM89#1O,226,89, ,60,GREENBELT STATION & BUS BAY C,26106,CHERRY LA & BALTIMORE AV,27243,Local Metrobus,Metro Bus,37,Peak,851,838,894,933,853,796,734,810,730,767,834,832,2
6,WM89I,227,89, ,60,CHERRY LA & 4TH ST,26246,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,52,Peak,851,838,894,933,853,796,734,810,730,767,834,832,2
7,WM89MI,228,89M, ,60,SOUTH LAUREL PARK & RIDE LOT & BAY,27424,GREENBELT STATION & BUS BAY C,26106,Local Metrobus,Metro Bus,47,Off-Peak,851,838,894,933,853,796,734,810,730,767,834,832,2
8,WMD08O,229,D8, ,16,MASSACHUSETTS AVE NE & NORTH CAPITO,20258,FIRST ST NE & ENTR TO NATL REHAB HO,21124,Local Metrobus,Metro Bus,46,Off-Peak,4188,4181,4369,4547,4321,4014,4151,4459,4324,4554,4451,4402,2
9,WM86O,222,86, ,30,RHODE ISLAND AVE STA & BUS BAY A,21012,CENTER PARK RDWY & #4061,26507,Local Metrobus,Metro Bus,71,Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
10,WM83O,231,83, ,30,RHODE ISLAND AVE STA & BUS BAY A,21012,JAYROSE BLVD & CHERRY HILL RD,27316,Local Metrobus,Metro Bus,53,Off-Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
11,WM86I,232,86, ,30,CENTER PARK RDWY & #4061,26265,RHODE ISLAND AVE STA & BUS BAY A,21012,Local Metrobus,Metro Bus,68,Peak,4748,4655,4485,4841,4409,4214,4286,4463,4518,4803,4818,4895,2
12,WM42O,233,42, ,12,NW 9TH ST & NW G ST,20516,LAMONT ST NW & MT PLEASANT ST NW,20821,Local Metrobus,Metro Bus,35,Off-Peak,7518,7200,7217,7137,6976,6231,6882,7427,7014,7177,6929,7106,2
13,WM90#3O,234,90, ,15,CALVERT ST NW LOOP & CALVERT ST NW,20652,ANACOSTIA STATION & BUS BAY E,21341,Local Metrobus,Metro Bus,64,Off-Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
14,WM90%I,235,90, ,16,ANACOSTIA STATION & BUS BAY E,21341,CALVERT ST NW LOOP & CALVERT ST NW,20652,Local Metrobus,Metro Bus,59,Off-Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
15,WM90%I,235,90, ,16,ANACOSTIA STATION & BUS BAY E,21341,CALVERT ST NW LOOP & CALVERT ST NW,20652,Local Metrobus,Metro Bus,59,Off-Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
16,WM92%#1I,237,92, ,12,CONGRESS HEIGHTS STA & BUS BAY E,21369,NW U ST & NW 14TH ST,20445,Local Metrobus,Metro Bus,60,Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
17,WM92%#1O,238,92, ,15,U ST & 13TH ST NW,20445,CONGRESS HEIGHTS STA & BUS BAY E,21369,Local Metrobus,Metro Bus,64,Off-Peak,12147,12390,12987,12883,12372,11470,11644,12706,12311,12652,12841,12331,2
18,WM28TO,494,28T, ,20,W FALLS CHURCH STATION & BUS BAY A,34938,TYSONS WESTPARK TRAN STA & BUS BAY,35132,Local Metrobus,Metro Bus,40,Peak,660,633,653,639,586,544,584,598,560,595,597,625,2
19,WM28XI,495,28X, ,15,MARK CENTER STATION BUS BAY 2,34088,TYSONS CORNER S/C & BUS STOP 1,36005,Local Metrobus,Metro Bus,50,Peak,869,938,913,880,906,893,835,972,935,1018,1044,1066,2
20,WM29CO,496,29C, ,30,PENTAGON STATION & BUS BAY L4 (29C),30206,NVCC ANNANDALE CAMPUS,34974,Express Metrobus,Metro Bus,31,Peak,1191,1094,1188,1140,1048,922,982,1156,1050,1132,1089,1077,2
21,WM29GI,497,29G, ,12,HERITAGE DR & AMERICANA DR,36228,PENTAGON STATION & ALIGHTING ONLY,30359,Express Metrobus,Metro Bus,39,Peak,1191,1094,1188,1140,1048,922,982,1156,1050,1132,1089,1077,2
22,WM29HI,498,29H, ,15,HERITAGE DR & DONNEYBROOK CT,36228,PENTAGON STATION & ALIGHTING ONLY,30359,Express Metrobus,Metro Bus,47,Peak,1191,1094,1188,1140,1048,922,982,1156,1050,1132,1089,1077,2
23,WM29KI,499,29K, ,30,GEORGE MASON UNIVERSITY,34364,KING ST STATION & BUS BAY D,32157,Local Metrobus,Metro Bus,63,Peak,2197,2190,2640,2640,2451,2096,2168,2478,2219,2466,2268,2284,2
24,WM10AI,500,10A, ,20,S WASHINGTON ST & SOUTH ST (T),34025,PENTAGON STATION & BUS BAY U11,30359,Local Metrobus,Metro Bus,40,Peak,2543,2672,2598,2480,2374,2267,2223,2292,2254,2089,2089,2242,2
25,WM25BI,501,25B, ,20,VAN DORN METRO STA & BUS BAY A,34022,BALLSTON STATION & BUS BAY B,30093,Local Metrobus,Metro Bus,59,Peak,1313,1422,1548,1460,1364,1262,1098,1205,1215,1342,1289,1261,2
26,ART77I,502,ART 77, ,30,Shirlington Station 2975 S Quincy Street NB,30170,Court House Metro Arlington Co Offices (Flags),30123,Other Primary - Local Bus,ART Bus,27,Peak,690,695,687,690,723,675,725,777,827,853,836,792,2
27,WMP12I,503,P12, ,20,AUDREY LA & EASTOVER PARK & RIDE LO,26400,ADDISON RD STATION & BUS BAY C,26201,Local Metrobus,Metro Bus,70,Peak,5803,6027,6116,6141,5842,5620,5596,6014,5741,6025,6086,5810,2
28,WMQ02O,504,Q2, ,15,SILVER SPRING STATION & BUS BAY P,22862,MANNAKEE ST & SOUTH CAMPUS DR,22395,Local Metrobus,Metro Bus,56,Peak,8778,8814,9488,9542,9043,8160,7798,8632,8411,9276,9203,9341,2
29,WMQ04I,505,Q4, ,30,ROCKVILLE STATION WEST & BUS BAY C,22370,SILVER SPRING STATION & BUS BAY P,22172,Local Metrobus,Metro Bus,52,Off-Peak,8778,8814,9488,9542,9043,8160,7798,8632,8411,9276,9203,9341,2
30,WMQ04O,506,Q4, ,27,SILVER SPRING STATION & BUS BAY P,22172,ROCKVILLE STATION WEST & BUS BAY B,22370,Local Metrobus,Metro Bus,44,Off-Peak,8778,8814,9488,9542,9043,8160,7798,8632,8411,9276,9203,9341,2
31,WMQ06I,507,Q6, ,27,SHADY GROVE STA (W) & BUS BAY C,22395,WHEATON STATION & BUS BAY D,22595,Local Metrobus,Metro Bus,52,Off-Peak,8778,8814,9488,9542,9043,8160,7798,8632,8411,9276,9203,9341,2
32,WM74LI,508,74, ,12,6TH ST & MASSACHUSETTS AVE NW,20158,"TERMINAL;SW HALF ST & SW O ST",21283,Local Metrobus,Metro Bus,20,Peak,1495,1509,1583,1621,1528,1377,1332,1531,1522,1607,1557,1521,2
33,ART45I,509,ART 45, ,30,Columbia Pike WB @ S Greenbrier Street NS,34088,Rosslyn Metro,30120,Other Primary - Local Bus,ART Bus,43,Peak,806,798,817,975,803,724,820,884,868,894,872,861,2
34,ART77O,510,ART 77, ,30,Court House Metro Arlington Co Offices (Flags),30122,Shirlington Station 2975 S Quincy Street NB,30170,Other Primary - Local Bus,ART Bus,26,Peak,690,695,687,690,723,675,725,777,827,853,836,792,2
35,ART77O,510,ART 77, ,30,Court House Metro Arlington Co Offices (Flags),30122,Shirlington Station 2975 S Quincy Street NB,30170,Other Primary - Local Bus,ART Bus,26,Peak,690,695,687,690,723,675,725,777,827,853,836,792,2
36,ART45I,509,ART 45, ,30,Columbia Pike WB @ S Greenbrier Street NS,34088,Rosslyn Metro,30120,Other Primary - Local Bus,ART Bus,43,Peak,806,798,817,975,803,724,820,884,868,894,872,861,2
37,ART45O,513,ART 45, ,30,Rosslyn Metro,30120,Columbia Pike WB @ S Greenbrier Street NS,30151,Other Primary - Local Bus,ART Bus,42,Peak,806,798,817,975,803,724,820,884,868,894,872,861,2
38,ART45O,513,ART 45, ,30,Rosslyn Metro,30120,Columbia Pike WB @ S Greenbrier Street NS,30151,Other Primary - Local Bus,ART Bus,42,Peak,806,798,817,975,803,724,820,884,868,894,872,861,2
39,WMR12O,515,R12, ,50,DEANWOOD STATION & BUS BAY C,21208,GREENBELT STATION & BUS BAY F,26106,Local Metrobus,Metro Bus,48,Off-Peak,1618,1611,1637,1670,1594,1490,1540,1662,1600,1673,1669,1670,2
40,ART75O,516,ART 75, ,50,N Monroe Street SB @ 9th St N FS,30223,Shirlington Station NB,30170,Other Primary - Local Bus,ART Bus,34,Off-Peak,573,521,647,651,601,571,571,641,628,689,726,673,2
41,WMM04S,517,M4, ,30,NW WESTERN AV & NW PINEHURST CI,20783,LOUGHBORO RD NW & SIBLEY HOSPITAL,21566,Local Metrobus,Metro Bus,25,Off-Peak,811,969,1209,1170,1154,1031,1049,1183,1151,1185,1163,1158,2
42,ART77I,502,ART 77, ,30,Shirlington Station 2975 S Quincy Street NB,30170,Court House Metro Arlington Co Offices (Flags),30123,Other Primary - Local Bus,ART Bus,27,Peak,690,695,687,690,723,675,725,777,827,853,836,792,2
43,ART87AI,519,ART 87, ,20,26th Street S SB @ S Troy Street FS,30209,Pentagon Station BUS BAY U,30206,Other Primary - Local Bus,ART Bus,13,Peak,1104,1021,1065,1058,978,939,1034,1012,980,1001,922,1025,2
44,ART87AO,520,ART 87, ,20,Pentagon Metro @ Bay U3,30206,26th Street S SB @ S Troy Street FS,30209,Other Primary - Local Bus,ART Bus,9,Peak,1104,1021,1065,1058,978,939,1034,1012,980,1001,922,1025,2
45,WM74LI,508,74, ,12,6TH ST & MASSACHUSETTS AVE NW,20158,"TERMINAL;SW HALF ST & SW O ST",21283,Local Metrobus,Metro Bus,20,Peak,1495,1509,1583,1621,1528,1377,1332,1531,1522,1607,1557,1521,2
46,WM74LO,522,74, ,12,"TERMINAL;SW HALF ST & SW O ST",21283,6TH ST & MASSACHUSETTS AVE NW,20158,Local Metrobus,Metro Bus,21,Peak,1495,1509,1583,1621,1528,1377,1332,1531,1522,1607,1557,1521,2
47,WM74LO,522,74, ,12,"TERMINAL;SW HALF ST & SW O ST",21283,6TH ST & MASSACHUSETTS AVE NW,20158,Local Metrobus,Metro Bus,21,Peak,1495,1509,1583,1621,1528,1377,1332,1531,1522,1607,1557,1521,2
48,WM01Z,524,01Z, ,30,VIENNA STATION & BUS BAY K,35062,BALLSTON STATION & BUS BAY C,30093,Local Metrobus,Metro Bus,55,Peak,3959,4020,3973,3856,3664,3420,3195,3485,3502,3774,3637,3814,2
49,ART87XO,525,ART 87, ,20,Pentagon Metro @ Bay U3,30206,Shirlington Station 2975 S Quincy Street NB,30170,Other Primary - Local Bus,ART Bus,10,Peak,1104,1021,1065,1058,978,939,1034,1012,980,1001,922,1025,2
50,WMW02/,526,W2, ,15,CVS PARKING LOT & NAYLOR RD,21347,HOWARD RD & E ANACOSTIA STA,20731,Local Metrobus,Metro Bus,14,Peak,1476,1705,1964,2671,2687,2492,2455,2740,2696,2635,2684,2527,2
51,WMS02%6I,527,S2, ,20,16TH ST & HARVARD ST,20827,NW 14TH ST & NW I ST,20075,Local Metrobus,Metro Bus,16,Peak,14823,14619,15137,15476,14440,13342,13446,13972,14193,14495,14510,14342,2
52,WMR12O,515,R12, ,50,DEANWOOD STATION & BUS BAY C,21208,GREENBELT STATION & BUS BAY F,26106,Local Metrobus,Metro Bus,48,Off-Peak,1618,1611,1637,1670,1594,1490,1540,1662,1600,1673,1669,1670,2
53,WM28AO,529,28A, ,30,KING ST STATION & BUS BAY F,32157,TYSONS CORNER S/C & BUS STOP 1,36005,Local Metrobus,Metro Bus,88,Peak,4586,4770,4710,4617,4084,4070,4003,4173,4110,4339,4361,4464,2
54,ART84I,530,ART 84, ,20,S Monroe Street NB @ 18th Street S NS,30264,Pentagon Cty Metro 12th St S EB @ S Hayes S,30194,Other Primary - Local Bus,ART Bus,26,Peak,123,98,140,187,192,194,216,229,231,245,232,230,2
55,WMC08O,531,C8, ,30,COLLEGE PARK UMD STATION & BUS BAY,22670,MONTGOMERY,26095,Local Metrobus,Metro Bus,70,Off-Peak,2438,2541,2789,2634,2412,2127,2203,2418,2310,2595,2690,2585,2
56,WMC02I,532,C2, ,27,GREENBELT STATION & BUS BAY G,26106,WHEATON STATION & BUS BAY B,22595,Local Metrobus,Metro Bus,58,Off-Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
57,WMC02I,532,C2, ,27,GREENBELT STATION & BUS BAY G,26106,WHEATON STATION & BUS BAY B,22595,Local Metrobus,Metro Bus,58,Off-Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
58,WMC02O,534,C2, ,30,WHEATON STATION & BUS BAY B,22595,GREENBELT STATION & BUS BAY G,26106,Local Metrobus,Metro Bus,54,Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
59,WMC02O,534,C2, ,30,WHEATON STATION & BUS BAY B,22595,GREENBELT STATION & BUS BAY G,26106,Local Metrobus,Metro Bus,54,Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
60,WMC04I,536,C4, ,27,PG PLAZA STATION & BUS BAY E,26048,TWINBROOK STATION & BUS BAY A,22672,Local Metrobus,Metro Bus,68,Off-Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
61,WMC04I,536,C4, ,27,PG PLAZA STATION & BUS BAY E,26048,TWINBROOK STATION & BUS BAY A,22672,Local Metrobus,Metro Bus,68,Off-Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
62,WMC04O,538,C4, ,27,TWINBROOK STATION & BUS BAY A,22672,PG PLAZA STATION & BUS BAY E,26048,Local Metrobus,Metro Bus,67,Off-Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
63,WMB30O,539,B30, ,60,GREENBELT STATION & BUS BAY D,26106,BWI BUSINESS DISTRICT LIGHT RAIL STATION,45719,Local Metrobus,Metro Bus,35,Peak,639,659,586,599,582,586,488,452,530,512,585,565,2
64,WMB30I,540,B30, ,60,BWI BUSINESS DISTRICT LIGHT RAIL STATION,45719,GREENBELT STATION & BUS BAY D,26112,Local Metrobus,Metro Bus,37,Peak,639,659,586,599,582,586,488,452,530,512,585,565,2
65,WMC04O,538,C4, ,27,TWINBROOK STATION & BUS BAY A,22672,PG PLAZA STATION & BUS BAY E,26048,Local Metrobus,Metro Bus,67,Off-Peak,11666,12231,12451,12519,11769,10953,10227,10988,11303,12597,12425,11768,2
66,WMC08I,542,C8, ,27,MONTGOMERY,26095,COLLEGE PARK UMD STATION & BUS BAY,22332,Local Metrobus,Metro Bus,72,Off-Peak,2438,2541,2789,2634,2412,2127,2203,2418,2310,2595,2690,2585,2
67,WM29KI,499,29K, ,30,GEORGE MASON UNIVERSITY,34364,KING ST STATION & BUS BAY D,32157,Local Metrobus,Metro Bus,63,Peak,2197,2190,2640,2640,2451,2096,2168,2478,2219,2466,2268,2284,2
68,WMC08O,531,C8, ,30,COLLEGE PARK UMD STATION & BUS BAY,22670,MONTGOMERY,26095,Local Metrobus,Metro Bus,70,Off-Peak,2438,2541,2789,2634,2412,2127,2203,2418,2310,2595,2690,2585,2
69,WMB29I,545,B29, ,60,NEW CARROLLTON STATION & BUS BAY A,45592,CROFTON COUNTRY CLUB & NORTH PKG LO,26193,Local Metrobus,Metro Bus,25,Peak,249,260,278,293,246,218,243,265,254,277,261,271,2
70,WMC11I,546,C11, ,15,CLINTON P & R LOT & BUS BAY B,26781,BRANCH AVE STATION & BUS BAY G,26527,Local Metrobus,Metro Bus,15,Peak,526,533,575,554,526,442,639,770,604,607,564,569,2
71,WMC12I,547,C12, ,30,BRANCH AVE STATION & BUS BAY F,26527,NAYLOR RD STATION & BUS BAY E,26569,Local Metrobus,Metro Bus,37,Peak,725,736,705,730,668,643,685,722,705,732,747,674,2
72,WMC13O,548,C13, ,30,BRANCH AVE STATION & BUS BAY G,26527,CLINTON P & R LOT & BUS BAY B,26781,Local Metrobus,Metro Bus,18,Peak,526,533,575,554,526,442,639,770,604,607,564,569,2
73,WMC14I,549,C14, ,60,BRANCH AVE STATION & BUS BAY F,26527,NAYLOR RD STATION & BUS BAY E,26569,Local Metrobus,Metro Bus,22,Off-Peak,725,736,705,730,668,643,685,722,705,732,747,674,2
74,WMC14O,550,C14, ,60,NAYLOR RD STATION & BUS BAY E,26569,BRANCH AVE STATION & BUS BAY F,27213,Local Metrobus,Metro Bus,26,Off-Peak,725,736,705,730,668,643,685,722,705,732,747,674,2
75,WMC14O,550,C14, ,60,NAYLOR RD STATION & BUS BAY E,26569,BRANCH AVE STATION & BUS BAY F,27213,Local Metrobus,Metro Bus,26,Off-Peak,725,736,705,730,668,643,685,722,705,732,747,674,2
76,WMC21I,552,C21, ,60,KETTERING DR & KETTERING TE,27790,ADDISON RD STATION & BUS BAY E,26201,Local Metrobus,Metro Bus,28,Off-Peak,2667,2614,2853,2768,2483,2249,2253,2626,2504,2816,2699,2757,2
77,WMC22#2O,553,C22, ,60,ADDISON RD STATION & BUS BAY E,26201,HALL ROAD & POINTER RIDGE DR,26663,Local Metrobus,Metro Bus,51,Off-Peak,2667,2614,2853,2768,2483,2249,2253,2626,2504,2816,2699,2757,2
78,WMC22I,554,C22, ,60,HALL RD & CENTRAL AVE,26419,ADDISON RD STATION & BUS BAY E,26201,Local Metrobus,Metro Bus,46,Off-Peak,2667,2614,2853,2768,2483,2249,2253,2626,2504,2816,2699,2757,2
79,WMC22O,555,C22, ,60,ADDISON RD STATION & BUS BAY E,26201,PRINCE GEORGES BLVD & NASA FEDERAL,26419,Local Metrobus,Metro Bus,56,Off-Peak,2667,2614,2853,2768,2483,2249,2253,2626,2504,2816,2699,2757,2
80,WMC26#2I,556,C26, ,60,WATKINS PARK DR & CAMBLETON DR,27758,LARGO TOWN CENTER STATION & BUS BAY,26426,Local Metrobus,Metro Bus,25,Off-Peak,2667,2614,2853,2768,2483,2249,2253,2626,2504,2816,2699,2757,2
81,WMC26#2O,557,C26, ,60,LARGO TOWN CENTER STATION & BUS BAY,26426,WATKINS PARK DR & CHESTERTON DR,26704,Local Metrobus,Metro Bus,25,Off-Peak,2667,2614,2853,2768,2483,2249,2253,2626,2504,2816,2699,2757,2
82,WMC08I,542,C8, ,27,MONTGOMERY,26095,COLLEGE PARK UMD STATION & BUS BAY,22332,Local Metrobus,Metro Bus,72,Off-Peak,2438,2541,2789,2634,2412,2127,2203,2418,2310,2595,2690,2585,2
83,WMB21I,559,B21, ,60,BOWIE STATE UNIV & M L KING JR ART,26379,NEW CARROLLTON STATION & BUS BAY B,26193,Local Metrobus,Metro Bus,26,Off-Peak,678,751,1005,932,805,728,751,841,771,882,836,760,2
84,WM28AI,560,28A, ,20,TYSONS CORNER S/C & BUS STOP 1,36005,KING ST STATION & BUS BAY F,32157,Local Metrobus,Metro Bus,81,Off-Peak,4586,4770,4710,4617,4084,4070,4003,4173,4110,4339,4361,4464,2
85,WM29XI,561,29X, ,30,NVCC ANNANDALE CAMPUS,34297,PENTAGON STATION & ALIGHTING ONLY,30359,Express Metrobus,Metro Bus,43,Peak,1191,1094,1188,1140,1048,922,982,1156,1050,1132,1089,1077,2
86,WM31I,562,31, ,15,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,NW VIRGINIA AVE & NW 21ST ST,20550,Local Metrobus,Metro Bus,43,Peak,3826,3397,3768,3632,3396,2968,3107,3349,3326,3434,3511,3671,2
87,WM31I,562,31, ,15,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,NW VIRGINIA AVE & NW 21ST ST,20550,Local Metrobus,Metro Bus,43,Peak,3826,3397,3768,3632,3396,2968,3107,3349,3326,3434,3511,3671,2
88,WM31O,564,31, ,30,NW VIRGINIA AVE & NW 21ST ST,20228,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,Local Metrobus,Metro Bus,45,Off-Peak,3826,3397,3768,3632,3396,2968,3107,3349,3326,3434,3511,3671,2
89,WM31O,564,31, ,30,NW VIRGINIA AVE & NW 21ST ST,20228,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,Local Metrobus,Metro Bus,45,Off-Peak,3826,3397,3768,3632,3396,2968,3107,3349,3326,3434,3511,3671,2
90,WM32#3O,566,32, ,60,SE PENNSYLVANIA AV & SE E ST,20723,SOUTHERN AVE STATION & BUS BAY A,21354,Local Metrobus,Metro Bus,24,Peak,13361,13678,14208,13924,12986,11990,12510,13664,13300,13636,14270,14126,2
91,WM32I,567,32, ,27,SOUTHERN AVE STATION & BUS BAY A,21354,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,Local Metrobus,Metro Bus,94,Off-Peak,13361,13678,14208,13924,12986,11990,12510,13664,13300,13636,14270,14126,2
92,WM32I,567,32, ,27,SOUTHERN AVE STATION & BUS BAY A,21354,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,Local Metrobus,Metro Bus,94,Off-Peak,13361,13678,14208,13924,12986,11990,12510,13664,13300,13636,14270,14126,2
93,WM32O,569,32, ,30,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,SOUTHERN AVE STATION & BUS BAY A,21354,Local Metrobus,Metro Bus,94,Off-Peak,13361,13678,14208,13924,12986,11990,12510,13664,13300,13636,14270,14126,2
94,WM32O,569,32, ,30,FRIENDSHIP HEIGHTS STA & BUS BAY B,22864,SOUTHERN AVE STATION & BUS BAY A,21354,Local Metrobus,Metro Bus,94,Off-Peak,13361,13678,14208,13924,12986,11990,12510,13664,13300,13636,14270,14126,2
95,WM34I,571,34, ,20,NAYLOR RD STATION & BUS BAY G,20876,10TH ST NW & PENNSYLVANIA AVE NW,20061,Local Metrobus,Metro Bus,44,Peak,2186,2249,2357,2442,2216,2062,1993,2112,2037,2238,2268,2164,2
96,WMB30O,539,B30, ,60,GREENBELT STATION & BUS BAY D,26106,BWI BUSINESS DISTRICT LIGHT RAIL STATION,45719,Local Metrobus,Metro Bus,35,Peak,639,659,586,599,582,586,488,452,530,512,585,565,2
97,WM29NO,573,29N, ,60,KING ST STATION & BUS BAY D,32157,VIENNA STATION (S) & BUS BAY T,35060,Local Metrobus,Metro Bus,70,Peak,2197,2190,2640,2640,2451,2096,2168,2478,2219,2466,2268,2284,2
98,WMB30I,540,B30, ,60,BWI BUSINESS DISTRICT LIGHT RAIL STATION,45719,GREENBELT STATION & BUS BAY D,26112,Local Metrobus,Metro Bus,37,Peak,639,659,586,599,582,586,488,452,530,512,585,565,2
99,WMB21O,575,B21, ,60,NEW CARROLLTON STATION & BUS BAY B,26193,BOWIE STATE UNIV & M L KING JR ART,26379,Local Metrobus,Metro Bus,26,Off-Peak,678,751,1005,932,805,728,751,841,771,882,836,760,2
100,WMB21O,575,B21, ,60,NEW CARROLLTON STATION & BUS BAY B,26193,BOWIE STATE UNIV & M L KING JR ART,26379,Local Metrobus,Metro Bus,26,Off-Peak,678,751,1005,932,805,728,751,841,771,882,836,760,2
101,WMB22I,577,B22, ,60,BOWIE STATE UNIV & M L KING JR ART,26379,NEW CARROLLTON STATION & BUS BAY B,26159,Local Metrobus,Metro Bus,38,Peak,678,751,1005,932,805,728,751,841,771,882,836,760,2
102,WMB22I,577,B22, ,60,BOWIE STATE UNIV & M L KING JR ART,26379,NEW CARROLLTON STATION & BUS BAY B,26159,Local Metrobus,Metro Bus,38,Peak,678,751,1005,932,805,728,751,841,771,882,836,760,2
103,WMB22O,579,B22, ,60,NEW CARROLLTON STATION & BUS BAY B,26193,BOWIE STATE UNIV & M L KING JR ART,26379,Local Metrobus,Metro Bus,39,Off-Peak,678,751,1005,932,805,728,751,841,771,882,836,760,2
104,WMB24I,580,B24, ,30,BOWIE PARK & RIDE LOT & BAY C,26413,NEW CARROLLTON STATION & BUS BAY G,26159,Local Metrobus,Metro Bus,42,Peak,1059,1082,1108,1073,1018,915,878,979,924,1049,999,1009,2
105,WMB25O,581,B25, ,60,NEW CARROLLTON STATION & BUS BAY G,26159,BOWIE PARK & RIDE LOT & BAY C,26413,Local Metrobus,Metro Bus,46,Peak,1059,1082,1108,1073,1018,915,878,979,924,1049,999,1009,2
106,WMB02I,582,B2, ,12,MT RAINIER TERMINAL & LANE 1 OR 2,26127,ANACOSTIA STATION & BUS BAY B,20731,Local Metrobus,Metro Bus,55,Peak,6366,6404,7382,7392,6919,6428,6524,6855,6791,6808,7256,6485,2
107,WMB25O,581,B25, ,60,NEW CARROLLTON STATION & BUS BAY G,26159,BOWIE PARK & RIDE LOT & BAY C,26413,Local Metrobus,Metro Bus,46,Peak,1059,1082,1108,1073,1018,915,878,979,924,1049,999,1009,2
108,WMB27I,584,B27, ,30,BOWIE STATE UNIV & M L KING JR ART,26379,NEW CARROLLTON STATION & BUS BAY G,26159,Local Metrobus,Metro Bus,25,Peak,233,245,319,310,270,227,219,262,254,278,255,249,2
109,WMB27O,585,B27, ,60,NEW CARROLLTON STATION & BUS BAY G,26159,BOWIE STATE UNIV & M L KING JR ART,26379,Local Metrobus,Metro Bus,25,Peak,233,245,319,310,270,227,219,262,254,278,255,249,2
110,WMP19I,586,P19, ,20,FORT WASHINGTON LOT & BUS BAY B,26802,NW 17TH ST & NW I ST,20098,Local Metrobus,Metro Bus,67,Peak,1352,1337,1377,1418,1297,1140,1254,1361,1277,1243,1323,1337,2
111,WM34I,571,34, ,20,NAYLOR RD STATION & BUS BAY G,20876,10TH ST NW & PENNSYLVANIA AVE NW,20061,Local Metrobus,Metro Bus,44,Peak,2186,2249,2357,2442,2216,2062,1993,2112,2037,2238,2268,2164,2
112,WMH08I,588,H8, ,12,RHODE ISLAND AVE STA & BUS BAY E,21012,MT PLEASANT ST NW & 17TH ST NW,20821,Local Metrobus,Metro Bus,38,Peak,3808,3723,3831,3649,3556,3431,3534,3772,3558,3736,3926,3560,2
113,WMZ09#1I,589,Z9, ,20,BURTONSVILLE S/C & NATIONAL DR,22539,SILVER SPRING STATION & BUS BAY E,22862,Local Metrobus,Metro Bus,33,Peak,700,737,799,739,674,618,655,722,690,754,731,746,2
114,WMZ11I,590,Z11, ,9,GREENCASTLE PARK & RIDE LOT,22526,SILVER SPRING STATION & BUS BAY D,22862,Local Metrobus,Metro Bus,46,Peak,1108,1052,1101,1126,1084,919,955,1019,973,1066,1045,954,2
115,WMZ13O,591,Z13, ,20,SILVER SPRING STATION & BUS BAY D,22172,GREENCASTLE PARK & RIDE LOT,22526,Local Metrobus,Metro Bus,25,Peak,1108,1052,1101,1126,1084,919,955,1019,973,1066,1045,954,2
116,WMH03O,592,H3, ,30,NW 40TH ST & NW ALBEMARLE ST,20718,BROOKLAND STATION & BUS BAY B,21133,Local Metrobus,Metro Bus,42,Peak,6513,6649,7550,7377,6969,6067,6296,6769,6565,6852,6700,6619,2
