Date	ROTP	RailReliability	MetroAccessOTP	EscalatorAvail	ElevatorAvail	TotalInjuries	Crime	Ridership
201309	0.924	75697	0.906	0.938	96.90%	2.23	8.5	22138747
201310	0.922	61959	0.912	0.939	96.80%	2.39	8.1	22568599
201311	0.903	51248	0.911	0.929	97.40%	1.68	5.9	20535975
201312	0.923	63468	0.925	0.918	96.90%	1.59	4.3	19205871
201401	0.892	44530	0.933	0.93	97.40%	3.01	3.2	19954729
201402	0.92	66600	0.902	0.936	96.60%	1.9	3.2	18890899
201403	0.904	63127	0.925	0.936	97.30%	1.51	3.8	21971882
201404	0.92	77957	0.911	0.926	97.20%	1.53	3.9	25549742
201405	0.917	64848	0.923	0.923	97.60%	2.19	6	23686634
201406	0.912	55522	0.924	0.931	97.00%	1.63	6.1	23936655
201407	0.922	84627	0.926	0.929	97.20%	1.74	5.9	25357158
201408	0.897	65042	0.928	0.927	96.80%	1.47	8.2	23132836
201409	0.907	73150	0.918	0.93	96.30%	2.95	6	22917150
201410	0.901	89891	0.919	0.938	96.00%	1.53	4.6	24582682
201411	0.884	63436	0.915	0.938	96.70%	1.86	4.7	20065907
201412	0.897	61000	0.922	0.932	96.20%	2.42	3.8	20468341
201501	0.873	53784	0.93	0.931	96.80%	5.19	4.3	19924742
201502	0.839	41558	0.891	0.939	97.40%	1.7	3.6	18348425
201503	0.885	63588	0.894	0.941	97.90%	2.22	3.6	22574898
201504	0.899	60242	0.92	0.935	97.10%	2.49	3.8	25054379
201505	0.87	69260	0.929	0.937	96.50%	1.7	5.8	22609113
201506	0.846	54779	0.935	0.933	96.10%	1.61	4.8	24206396
201507	0.844	56446	0.948	0.929	96.70%	0.81	4.7	24786276
201508	0.828	59196	0.947	0.933	97.40%	2.53	5.5	21155750
201509	0.789	60872	0.939	0.934	96.40%	1.7	6.2	20952910
201510	0.756	65900	0.93	0.927	96.40%	2.05	6.9	22321780
201511	0.801	63564	0.934	0.932	96.40%	1.37	5.4	18881833
201512	0.823	51599	0.937	0.933	97.20%	1.35	4.7	19188299
201601	0.7	39657	0.937	0.936	97.20%	3.29	6.1	16748182
201602	0.72	47239	0.931	0.935	96.70%	2.22	4.4	19236884
201603	0.78	59131	0.93	0.943	97.10%	1.75	4.3	22407991
201604	0.8	80943	0.925	0.939	97.00%	2.13	4.1	21979083
201605	0.69	81278	0.93	0.933	96.80%	1.91	6.1	20448297
201606	0.71	85389	0.923	0.931	96.60%	2.15	5	21065926
201607	0.71	55850	0.92	0.93	96.20%	1.78	6.3	19414717
201608	0.69	73246	0.914	0.921	96.70%	1.79	6.2	19265960
201609	0.64	65416	0.838	0.925	96.60%	2.01	5.4	19060999
201610	0.65	86174	0.834	0.944	96.60%	1.73	4.9	19305767
201611	0.61	66697	0.836	0.94	96.90%	1.68	4.5	17079887
201612	0.63	76244	0.869	0.941	96.90%	2.63	4.9	16532625
201701	0.66	79105	0.88	0.95	96%	2.14	4.5	18349147
201702	0.71	85489	0.874	0.95	97%	2.59	3.8	16922920
201703	0.7	80348	0.854	0.96	97%	2.17	3.5	20269488
201704	0.75	118958	0.88	0.96	97%	1.41	4.2	19842700
201705	0.76	101585	0.87	0.96	98%	2.19	4.6	19978369
201706	0.79	104461	0.92	0.95	97%	1.71	4.5	21030458
201707	0.86	92927	0.89	0.95	97%	1.57	4.6	19522119
201708	0.89	83133	0.91	0.94	97%	2.03	4.8	19645882
201709	0.87	83890	0.9	0.95	97%	2.61	5.2	18560071
201710	0.88	99876	0.93	0.94	97%	1.87	4.1	20248022
201711	0.87	80687	0.93	0.94	97%	1.92	3.9	17932152
201712	0.86	85310	0.94	0.94	98%	2.15	3.8	15908483
