Date,Massachusetts Bay Transportation Authority,MTA New York City Transit,Port Authority Transit Corporation,Port Authority Trans-Hudson Corporation,Staten Island Rapid Transit Operating Authority dba: MTA Staten Island Railway,Southeastern Pennsylvania Transportation Authority,Washington Metropolitan Area Transit Authority,Maryland Transit Administration,Metropolitan Atlanta Rapid Transit Authority,Miami-Dade Transit,Alternativa de Transporte Integrado_ATI,The Greater Cleveland Regional Transit Authority,Chicago Transit Authority,San Francisco Bay Area Rapid Transit District,Los Angeles County Metropolitan Transportation Authority dba: Metro
AUG15,14296169,200405062,832174,7311064,630223,7593045,21155750,1061492,6089823,1729701,670632,532990,20802215,11342101,3902391
SEP15,15308414,222937876,863798,7414520,734216,8547412,20952910,1065581,6582187,1824002,842447,592832,21625824,11449941,3788440
OCT15,15930144,248353074,915036,7716524,828475,9072621,22321780,1138863,6619000,1930352,819219,620290,22663990,12202108,4013820
NOV15,13826072,221818275,824372,6983116,715344,8778120,18881833,1041250,5797404,1761820,694074,552619,19470592,10720752,3770616
DEC15,13744116,225677964,872108,7104920,755062,9108921,19188299,1046930,5820177,1813506,619232,543848,18501324,10915123,3932928
JAN16,12918965,203700844,814754,6540404,690704,8092417,16748182,835161,5535881,1787476,657186,530069,18164698,10648753,3770004
FEB16,13337646,212263157,853755,6739382,638268,8395540,19236884,931965,5542038,1824256,730724,502504,18561516,11457041,3671423
MAR16,15152324,235374012,945903,7746397,784731,9008246,22407991,1028092,6021963,1994796,691876,474130,20367468,11744295,3961402
APR16,14852944,222478233,887971,7425529,705348,8817116,21979083,964545,5764273,1843808,719534,545044,19797316,11254160,3700845
MAY16,14830902,238568952,871973,7536037,750451,8587107,20448297,1009507,5772987,1769327,649876,492471,20272514,11432356,3616835
JUN16,15061332,235819649,937049,7823683,764362,7910537,21065926,1015678,5601359,1692476,570544,642065,20916168,11728830,3868494
JUL16,13851715,209070061,877180,7389510,622322,7298528,19414717,908282,5616485,1577572,463349,491025,20518087,10944760,3836599
AUG16,14152839,222640824,924589,7731818,661834,7758199,19265960,871504,5845684,1711665,752609,521543,20583494,11762450,4040258
SEP16,14390362,227395882,903997,7518900,769263,8523493,19060999,996233,6218357,1753985,684750,506664,20799796,11311307,3806299
OCT16,14450529,229209951,910738,7461300,760838,8632266,19305767,968386,6077625,1670933,752178,705946,21772546,11577219,3774463
NOV16,13494513,224127914,880411,7280757,750924,6284833,17079887,875358,5414584,1734267,642123,526102,19879025,10857637,3741731
DEC16,12565825,220431256,845070,7136096,715275,8006687,16532625,836314,5267459,1734768,582665,480026,17013184,10519461,3840984
JAN17,12929046,211064673,892250,7103750,679170,7879976,18349147,866137,5683838,1743638,649274,467595,17901394,10435125,3822898
FEB17,12006713,203355040,839628,6670301,587642,7522127,16922920,870592,5106027,1676215,626366,446232,17256083,10010250,3517024
MAR17,13884485,241449874,937955,7696861,712644,8617561,20269488,904330,5804663,1926434,675406,493611,19626357,11481857,3943261
APR17,13681107,228139393,887861,7726181,632648,7622083,19842700,895282,5966544,1677459,494759,486122,18606061,10411343,3662495
MAY17,14308346,242654274,933868,7999545,741596,8148476,19978369,944782,5773847,1787885,571916,516413,19896320,11204729,3836778
JUN17,14387229,232384666,951466,8107971,721608,7585660,21030458,515554,5505747,1605234,516404,502344,20489102,11294073,3810134
JUL17,13490209,209917938,862301,8028394,596475,6236025,19522119,914897,5351631,1500243,439372,500994,19425365,10622040,3695415
AUG17,14002531,214529849,937835,8619890,633148,6516080,19645882,962725,5856089,1693524,571888,540639,20684355,11533427,3910809
SEP17,13784918,225940002,892136,7834621,718736,7172520,18560071,930613,5793025,1234135,206583,552465,20175642,10542852,3608675
OCT17,14390668,252251489,965642,8337238,803894,8341910,20248022,959315,6077671,1708564,0,570490,21075066,11390811,3813724
NOV17,12951479,225469705,903675,7689575,750182,7793626,17932152,927943,5428647,1609888,0,364932,18678515,10478925,3668699
DEC17,11490630,213430512,834442,7198021,666386,7094310,15908483,943927,5062642,1517341,83102,462977,16389787,9862733,3571194
