,Slope,Intercept,R,P,StdError,Coef_determ
Crime,449606.3480208056,19347634.94392639,0.25693591150494843,0.018308090955479476,186754.21080716446,0.0660160626208787
ElevatorAvail,-63627584.72357767,83369962.63490944,-0.16733812234118978,0.12814728853678736,41397707.84390201,0.028002047188674998
EscalatorAvail,-41564478.33354531,59917821.149460256,-0.5209194142404766,3.7766413342330383e-07,7521461.765530651,0.2713570361326413
MetroAccessOTP,41497131.445249446,-16185948.081866581,0.3694941149846053,0.0005422026920881265,11524664.254107019,0.13652590100825673
ROTP,18280040.49300981,6216136.128204266,0.6012965121868425,1.4652451724965193e-09,2682516.727346059,0.36155749556806166
RailReliability,-56.89524967870417,25380205.947062176,-0.3947626640855272,0.0002024293978369449,14.623321303575612,0.15583756095590276
TotalInjuries,-851717.1362151955,23458579.768039327,-0.1862742945539365,0.08978472461289821,496097.58084316,0.03469811281156669
