,Unnamed: 0,Date,ROTP,RailReliability,MetroAccessOTP,EscalatorAvail,ElevatorAvail,TotalInjuries,Crime,Ridership
71,71,2016-12-01,0.63,76244,0.8690000000000001,0.941,96.90%,2.63,4.9,16532625
72,72,2017-01-01,0.66,79105,0.88,0.95,96%,2.14,4.5,18349147
73,73,2017-02-01,0.71,85489,0.8740000000000001,0.95,97%,2.59,3.8,16922920
74,74,2017-03-01,0.7,80348,0.8540000000000001,0.96,97%,2.17,3.5,20269488
75,75,2017-04-01,0.75,118958,0.88,0.96,97%,1.41,4.2,19842700
76,76,2017-05-01,0.76,101585,0.87,0.96,98%,2.19,4.6,19978369
77,77,2017-06-01,0.79,104461,0.92,0.95,97%,1.71,4.5,21030458
78,78,2017-07-01,0.86,92927,0.89,0.95,97%,1.57,4.6,19522119
79,79,2017-08-01,0.89,83133,0.91,0.94,97%,2.03,4.8,19645882
80,80,2017-09-01,0.87,83890,0.9,0.95,97%,2.61,5.2,18560071
81,81,2017-10-01,0.88,99876,0.93,0.94,97%,1.87,4.1,20248022
82,82,2017-11-01,0.87,80687,0.93,0.94,97%,1.92,3.9,17932152
83,83,2017-12-01,0.86,85310,0.94,0.94,98%,2.15,3.8,15908483
